,precision,recall,f1-score,support
0,1.0,1.0,1.0,69.0
1,0.873015873015873,0.8088235294117647,0.8396946564885496,68.0
2,0.8208955223880597,0.7971014492753623,0.8088235294117647,69.0
3,0.8169014084507042,0.8923076923076924,0.8529411764705882,65.0
4,0.8307692307692308,0.8307692307692308,0.8307692307692308,65.0
5,0.921875,0.8939393939393939,0.9076923076923077,66.0
6,0.9310344827586207,0.9642857142857143,0.9473684210526315,28.0
7,1.0,0.9523809523809523,0.975609756097561,21.0
8,0.9130434782608695,1.0,0.9545454545454546,21.0
9,0.96875,0.8985507246376812,0.9323308270676691,69.0
10,0.8666666666666667,0.9420289855072463,0.9027777777777778,69.0
accuracy,0.8934426229508197,0.8934426229508197,0.8934426229508197,0.8934426229508197
macro avg,0.9039046965736386,0.907289788410458,0.9047775579430488,610.0
weighted avg,0.8948128533112637,0.8934426229508197,0.8933426195020107,610.0
