,precision,recall,f1-score,support
0,0.971830985915493,1.0,0.9857142857142858,69.0
1,0.6219512195121951,0.75,0.68,68.0
2,0.7962962962962963,0.6231884057971014,0.6991869918699187,69.0
3,0.8727272727272727,0.7384615384615385,0.8,65.0
4,0.8695652173913043,0.6153846153846154,0.7207207207207207,65.0
5,0.6363636363636364,0.9545454545454546,0.7636363636363637,66.0
6,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
7,1.0,1.0,1.0,21.0
8,0.8076923076923077,1.0,0.8936170212765957,21.0
9,0.9333333333333333,0.8115942028985508,0.8682170542635659,69.0
10,0.8571428571428571,0.8695652173913043,0.8633093525179856,69.0
accuracy,0.8147540983606557,0.8147540983606557,0.8147540983606557,0.8147540983606557
macro avg,0.8480401443557416,0.8414178706668826,0.8363934287204876,610.0
weighted avg,0.8327376225977422,0.8147540983606557,0.81461023023085,610.0
