,precision,recall,f1-score,support
0,0.9066666666666666,0.9855072463768116,0.9444444444444444,69.0
1,0.7162162162162162,0.7794117647058824,0.7464788732394366,68.0
2,0.7666666666666667,0.6666666666666666,0.7131782945736435,69.0
3,0.7246376811594203,0.7692307692307693,0.746268656716418,65.0
4,0.7931034482758621,0.7076923076923077,0.7479674796747967,65.0
5,0.8,0.9090909090909091,0.851063829787234,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.8571428571428571,0.782608695652174,0.8181818181818182,69.0
10,0.9264705882352942,0.9130434782608695,0.9197080291970803,69.0
accuracy,0.8327868852459016,0.8327868852459016,0.8327868852459016,0.8327868852459016
macro avg,0.8628094658511802,0.8583475696588926,0.8591140353434394,610.0
weighted avg,0.8339101702411288,0.8327868852459016,0.8316548466164313,610.0
