,precision,recall,f1-score,support
0,0.9295774647887324,0.9565217391304348,0.9428571428571428,69.0
1,0.7272727272727273,0.7058823529411765,0.7164179104477612,68.0
2,0.7903225806451613,0.7101449275362319,0.7480916030534351,69.0
3,0.6904761904761905,0.8923076923076924,0.7785234899328859,65.0
4,0.7301587301587301,0.7076923076923077,0.71875,65.0
5,0.8208955223880597,0.8333333333333334,0.8270676691729323,66.0
6,1.0,0.8214285714285714,0.9019607843137255,28.0
7,0.9545454545454546,1.0,0.9767441860465116,21.0
8,1.0,0.9047619047619048,0.95,21.0
9,0.8333333333333334,0.7246376811594203,0.7751937984496124,69.0
10,0.9178082191780822,0.9710144927536232,0.9436619718309859,69.0
accuracy,0.8229508196721311,0.8229508196721311,0.8229508196721311,0.8229508196721311
macro avg,0.8540354747987702,0.8388840911858815,0.8435698687368176,610.0
weighted avg,0.8270856468477182,0.8229508196721311,0.8223257416499198,610.0
