,precision,recall,f1-score,support
0,0.971830985915493,1.0,0.9857142857142858,69.0
1,0.7777777777777778,0.7205882352941176,0.7480916030534351,68.0
2,0.6666666666666666,0.6956521739130435,0.6808510638297872,69.0
3,0.890625,0.8769230769230769,0.8837209302325582,65.0
4,0.9016393442622951,0.8461538461538461,0.873015873015873,65.0
5,0.8356164383561644,0.9242424242424242,0.8776978417266187,66.0
6,1.0,0.8928571428571429,0.9433962264150944,28.0
7,1.0,1.0,1.0,21.0
8,0.9130434782608695,1.0,0.9545454545454546,21.0
9,0.9393939393939394,0.8985507246376812,0.9185185185185185,69.0
10,0.8873239436619719,0.9130434782608695,0.9,69.0
accuracy,0.8704918032786885,0.8704918032786885,0.8704918032786885,0.8704918032786885
macro avg,0.8894470522086525,0.888001009298382,0.8877774360956024,610.0
weighted avg,0.8718205593441805,0.8704918032786885,0.8703565812362861,610.0
