,precision,recall,f1-score,support
0,0.9857142857142858,1.0,0.9928057553956835,69.0
1,0.7101449275362319,0.7205882352941176,0.7153284671532847,68.0
2,0.6617647058823529,0.6521739130434783,0.656934306569343,69.0
3,0.5051546391752577,0.7538461538461538,0.6049382716049383,65.0
4,0.5135135135135135,0.2923076923076923,0.37254901960784315,65.0
5,0.796875,0.7727272727272727,0.7846153846153846,66.0
6,1.0,1.0,1.0,28.0
7,0.9545454545454546,1.0,0.9767441860465116,21.0
8,1.0,0.9523809523809523,0.975609756097561,21.0
9,0.9838709677419355,0.8840579710144928,0.9312977099236641,69.0
10,0.8904109589041096,0.9420289855072463,0.9154929577464789,69.0
accuracy,0.7819672131147541,0.7819672131147541,0.7819672131147541,0.7819672131147541
macro avg,0.8183631320921038,0.8154646523746734,0.8114832558873356,610.0
weighted avg,0.7854819555761208,0.7819672131147541,0.7774158659175767,610.0
