,precision,recall,f1-score,support
0,0.0,0.0,0.0,69.0
1,0.18518518518518517,0.4411764705882353,0.2608695652173913,68.0
2,0.2892561983471074,0.5072463768115942,0.3684210526315789,69.0
3,0.3125,0.23076923076923078,0.26548672566371684,65.0
4,0.38461538461538464,0.07692307692307693,0.1282051282051282,65.0
5,0.5625,0.5454545454545454,0.5538461538461539,66.0
6,0.0,0.0,0.0,28.0
7,0.0,0.0,0.0,21.0
8,0.4,0.9523809523809523,0.5633802816901409,21.0
9,0.35384615384615387,0.3333333333333333,0.34328358208955223,69.0
10,0.16216216216216217,0.17391304347826086,0.16783216783216784,69.0
accuracy,0.28852459016393445,0.28852459016393445,0.28852459016393445,0.28852459016393445
macro avg,0.24091500765054485,0.2964724572490209,0.2410295142887118,610.0
weighted avg,0.2606448263657653,0.28852459016393445,0.2498392989865152,610.0
