,precision,recall,f1-score,support
0,0.9245283018867925,0.7101449275362319,0.8032786885245902,69.0
1,0.6896551724137931,0.5882352941176471,0.6349206349206349,68.0
2,0.582089552238806,0.5652173913043478,0.5735294117647058,69.0
3,0.40625,0.4,0.40310077519379844,65.0
4,0.3181818181818182,0.1076923076923077,0.16091954022988506,65.0
5,0.4025974025974026,0.9393939393939394,0.5636363636363636,66.0
6,0.45,0.32142857142857145,0.375,28.0
7,0.8823529411764706,0.7142857142857143,0.7894736842105263,21.0
8,0.5217391304347826,0.5714285714285714,0.5454545454545454,21.0
9,0.6417910447761194,0.6231884057971014,0.6323529411764706,69.0
10,0.4153846153846154,0.391304347826087,0.40298507462686567,69.0
accuracy,0.5393442622950819,0.5393442622950819,0.5393442622950819,0.5393442622950819
macro avg,0.5667790890082364,0.5393017700736836,0.5349683327034896,610.0
weighted avg,0.5566290728966852,0.5393442622950819,0.5278811450991815,610.0
