,precision,recall,f1-score,support
0,0.9583333333333334,1.0,0.9787234042553191,69.0
1,0.7833333333333333,0.6911764705882353,0.734375,68.0
2,0.7424242424242424,0.7101449275362319,0.725925925925926,69.0
3,0.8709677419354839,0.8307692307692308,0.8503937007874016,65.0
4,0.835820895522388,0.8615384615384616,0.8484848484848485,65.0
5,0.8356164383561644,0.9242424242424242,0.8776978417266187,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,1.0,1.0,1.0,21.0
8,0.9130434782608695,1.0,0.9545454545454546,21.0
9,0.9,0.9130434782608695,0.9064748201438849,69.0
10,0.9166666666666666,0.9565217391304348,0.9361702127659575,69.0
accuracy,0.8704918032786885,0.8704918032786885,0.8704918032786885,0.8704918032786885
macro avg,0.886927829984771,0.8858708717462496,0.8850789210647576,610.0
weighted avg,0.8692373750880101,0.8704918032786885,0.8687665290189288,610.0
