,precision,recall,f1-score,support
0,0.9855072463768116,0.9855072463768116,0.9855072463768116,69.0
1,0.9215686274509803,0.6911764705882353,0.7899159663865546,68.0
2,0.6559139784946236,0.8840579710144928,0.7530864197530864,69.0
3,0.8,0.9230769230769231,0.8571428571428571,65.0
4,0.9137931034482759,0.8153846153846154,0.8617886178861789,65.0
5,0.9047619047619048,0.8636363636363636,0.8837209302325582,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,1.0,1.0,1.0,21.0
8,0.84,1.0,0.9130434782608695,21.0
9,0.9411764705882353,0.927536231884058,0.9343065693430657,69.0
10,0.9508196721311475,0.8405797101449275,0.8923076923076924,69.0
accuracy,0.8786885245901639,0.8786885245901639,0.8786885245901639,0.8786885245901639
macro avg,0.9012310002956346,0.8963206327888961,0.8939802491502399,610.0
weighted avg,0.8921693483096012,0.8786885245901639,0.8801748131308662,610.0
