,precision,recall,f1-score,support
0,1.0,1.0,1.0,69.0
1,0.6842105263157895,0.7647058823529411,0.7222222222222222,68.0
2,0.6896551724137931,0.5797101449275363,0.6299212598425197,69.0
3,0.8113207547169812,0.6615384615384615,0.7288135593220338,65.0
4,0.92,0.7076923076923077,0.8,65.0
5,0.8636363636363636,0.8636363636363636,0.8636363636363636,66.0
6,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
7,0.6774193548387096,1.0,0.8076923076923077,21.0
8,0.84,1.0,0.9130434782608695,21.0
9,0.9491525423728814,0.8115942028985508,0.875,69.0
10,0.6875,0.9565217391304348,0.8,69.0
accuracy,0.8147540983606557,0.8147540983606557,0.8147540983606557,0.8147540983606557
macro avg,0.8259870615688619,0.8430882300680023,0.825980339675533,610.0
weighted avg,0.8268953550507112,0.8147540983606557,0.8133307183179036,610.0
