,precision,recall,f1-score,support
0,0.8947368421052632,0.9855072463768116,0.9379310344827586,69.0
1,0.6790123456790124,0.8088235294117647,0.738255033557047,68.0
2,0.7719298245614035,0.6376811594202898,0.6984126984126984,69.0
3,0.7391304347826086,0.7846153846153846,0.7611940298507462,65.0
4,0.7619047619047619,0.7384615384615385,0.75,65.0
5,0.7866666666666666,0.8939393939393939,0.8368794326241135,66.0
6,0.9583333333333334,0.8214285714285714,0.8846153846153846,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.864406779661017,0.7391304347826086,0.796875,69.0
10,0.953125,0.8840579710144928,0.9172932330827067,69.0
accuracy,0.8229508196721311,0.8229508196721311,0.8229508196721311,0.8229508196721311
macro avg,0.8553859989721879,0.844876839040987,0.8474050769659504,610.0
weighted avg,0.8277100875750745,0.8229508196721311,0.8223238577001528,610.0
