,precision,recall,f1-score,support
0,0.9365079365079365,0.855072463768116,0.8939393939393939,69.0
1,0.8367346938775511,0.6029411764705882,0.7008547008547008,68.0
2,0.746031746031746,0.6811594202898551,0.7121212121212122,69.0
3,0.72,0.5538461538461539,0.6260869565217392,65.0
4,0.5862068965517241,0.7846153846153846,0.6710526315789473,65.0
5,0.7397260273972602,0.8181818181818182,0.7769784172661871,66.0
6,1.0,0.75,0.8571428571428571,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.620253164556962,0.7101449275362319,0.6621621621621622,69.0
10,0.7590361445783133,0.9130434782608695,0.8289473684210527,69.0
accuracy,0.759016393442623,0.759016393442623,0.759016393442623,0.759016393442623
macro avg,0.8131360554092267,0.7880913475426379,0.7935714272734775,610.0
weighted avg,0.773589386382503,0.759016393442623,0.7589467341846824,610.0
