,precision,recall,f1-score,support
0,0.8181818181818182,0.9130434782608695,0.863013698630137,69.0
1,0.42857142857142855,0.35294117647058826,0.3870967741935484,68.0
2,0.3624161073825503,0.782608695652174,0.4954128440366973,69.0
3,0.45121951219512196,0.5692307692307692,0.5034013605442177,65.0
4,0.4090909090909091,0.13846153846153847,0.20689655172413793,65.0
5,0.9183673469387755,0.6818181818181818,0.782608695652174,66.0
6,0.8823529411764706,0.5357142857142857,0.6666666666666666,28.0
7,1.0,0.6190476190476191,0.7647058823529411,21.0
8,0.7857142857142857,0.5238095238095238,0.6285714285714286,21.0
9,0.7540983606557377,0.6666666666666666,0.7076923076923077,69.0
10,0.8714285714285714,0.8840579710144928,0.8776978417266187,69.0
accuracy,0.6196721311475409,0.6196721311475409,0.6196721311475409,0.6196721311475409
macro avg,0.6983128437577881,0.6061272641951554,0.6257967319809885,610.0
weighted avg,0.6582029130411611,0.6196721311475409,0.6150704275502358,610.0
