,precision,recall,f1-score,support
0,0.9066666666666666,0.9855072463768116,0.9444444444444444,69.0
1,0.6973684210526315,0.7794117647058824,0.7361111111111112,68.0
2,0.8604651162790697,0.5362318840579711,0.6607142857142857,69.0
3,0.7160493827160493,0.8923076923076924,0.7945205479452054,65.0
4,0.7540983606557377,0.7076923076923077,0.7301587301587301,65.0
5,0.8571428571428571,0.9090909090909091,0.8823529411764706,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.9344262295081968,0.8260869565217391,0.8769230769230769,69.0
10,0.8666666666666667,0.9420289855072463,0.9027777777777778,69.0
accuracy,0.839344262295082,0.839344262295082,0.839344262295082,0.839344262295082
macro avg,0.8720803364261706,0.8642662886210897,0.8628150798376424,610.0
weighted avg,0.8455075202975328,0.839344262295082,0.8359234050298897,610.0
AUC,0.9899,0.9899,0.9899,0.9899
