,precision,recall,f1-score,support
0,0.9852941176470589,0.9710144927536232,0.9781021897810219,69.0
1,0.8421052631578947,0.7058823529411765,0.768,68.0
2,0.7,0.7101449275362319,0.7050359712230215,69.0
3,0.7702702702702703,0.8769230769230769,0.8201438848920863,65.0
4,0.875,0.7538461538461538,0.8099173553719008,65.0
5,0.828125,0.803030303030303,0.8153846153846154,66.0
6,1.0,0.8928571428571429,0.9433962264150944,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.84,0.9130434782608695,0.875,69.0
10,0.8589743589743589,0.9710144927536232,0.9115646258503401,69.0
accuracy,0.8524590163934426,0.8524590163934426,0.8524590163934426,0.8524590163934426
macro avg,0.8776649513268215,0.8725233109911091,0.873026277724054,610.0
weighted avg,0.8547900899912079,0.8524590163934426,0.851359966839501,610.0
AUC,0.9907,0.9907,0.9907,0.9907
