,precision,recall,f1-score,support
0,0.9855072463768116,0.9855072463768116,0.9855072463768116,69.0
1,0.7142857142857143,0.5882352941176471,0.6451612903225806,68.0
2,0.6338028169014085,0.6521739130434783,0.6428571428571429,69.0
3,0.5866666666666667,0.676923076923077,0.6285714285714286,65.0
4,0.6,0.46153846153846156,0.5217391304347826,65.0
5,0.84,0.9545454545454546,0.8936170212765957,66.0
6,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
7,0.8333333333333334,0.7142857142857143,0.7692307692307693,21.0
8,0.76,0.9047619047619048,0.8260869565217391,21.0
9,0.8714285714285714,0.8840579710144928,0.8776978417266187,69.0
10,0.8767123287671232,0.927536231884058,0.9014084507042254,69.0
accuracy,0.780327868852459,0.780327868852459,0.780327868852459,0.780327868852459
macro avg,0.7878202174586676,0.7921682711615287,0.7869239083916735,610.0
weighted avg,0.7769817678433802,0.780327868852459,0.7757984045201121,610.0
