,precision,recall,f1-score,support
0,0.35,0.2028985507246377,0.25688073394495414,69.0
1,0.15789473684210525,0.1323529411764706,0.144,68.0
2,0.10638297872340426,0.07246376811594203,0.08620689655172414,69.0
3,0.5172413793103449,0.23076923076923078,0.3191489361702128,65.0
4,0.5789473684210527,0.16923076923076924,0.2619047619047619,65.0
5,0.5061728395061729,0.6212121212121212,0.5578231292517006,66.0
6,0.0,0.0,0.0,28.0
7,0.2857142857142857,0.38095238095238093,0.32653061224489793,21.0
8,0.34782608695652173,0.38095238095238093,0.36363636363636365,21.0
9,0.23404255319148937,0.4782608695652174,0.3142857142857143,69.0
10,0.1773049645390071,0.36231884057971014,0.23809523809523808,69.0
accuracy,0.27704918032786885,0.27704918032786885,0.27704918032786885,0.27704918032786885
macro avg,0.2965024721094895,0.2755828957526237,0.2607738532805062,610.0
weighted avg,0.30913814786330746,0.27704918032786885,0.2633732059304076,610.0
