,precision,recall,f1-score,support
0,0.9855072463768116,0.9855072463768116,0.9855072463768116,69.0
1,0.746031746031746,0.6911764705882353,0.7175572519083969,68.0
2,0.7083333333333334,0.7391304347826086,0.723404255319149,69.0
3,0.7564102564102564,0.9076923076923077,0.8251748251748252,65.0
4,0.864406779661017,0.7846153846153846,0.8225806451612904,65.0
5,0.9824561403508771,0.8484848484848485,0.9105691056910569,66.0
6,0.7105263157894737,0.9642857142857143,0.8181818181818182,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.8382352941176471,0.8260869565217391,0.8321167883211679,69.0
10,0.9365079365079365,0.855072463768116,0.8939393939393939,69.0
accuracy,0.8475409836065574,0.8475409836065574,0.8475409836065574,0.8475409836065574
macro avg,0.8620873184658685,0.8729138024650696,0.864161410556402,610.0
weighted avg,0.8544226977683187,0.8475409836065574,0.8482443421086818,610.0
