,precision,recall,f1-score,support
0,1.0,1.0,1.0,69.0
1,0.8909090909090909,0.7205882352941176,0.7967479674796748,68.0
2,0.7971014492753623,0.7971014492753623,0.7971014492753623,69.0
3,0.9516129032258065,0.9076923076923077,0.9291338582677166,65.0
4,0.9473684210526315,0.8307692307692308,0.8852459016393442,65.0
5,0.84,0.9545454545454546,0.8936170212765957,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.9154929577464789,0.9420289855072463,0.9285714285714286,69.0
10,0.788235294117647,0.9710144927536232,0.8701298701298701,69.0
accuracy,0.8967213114754098,0.8967213114754098,0.8967213114754098,0.8967213114754098
macro avg,0.9168423246247702,0.907353001180018,0.9091244187057661,610.0
weighted avg,0.9017349314491736,0.8967213114754098,0.8960007228694301,610.0
