,precision,recall,f1-score,support
0,0.9583333333333334,1.0,0.9787234042553191,69.0
1,0.6875,0.4852941176470588,0.5689655172413793,68.0
2,0.5915492957746479,0.6086956521739131,0.6,69.0
3,0.6666666666666666,0.8307692307692308,0.7397260273972602,65.0
4,0.7090909090909091,0.6,0.65,65.0
5,0.8970588235294118,0.9242424242424242,0.9104477611940298,66.0
6,1.0,0.8214285714285714,0.9019607843137255,28.0
7,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
8,1.0,0.9523809523809523,0.975609756097561,21.0
9,0.9014084507042254,0.927536231884058,0.9142857142857143,69.0
10,0.725,0.8405797101449275,0.7785234899328859,69.0
accuracy,0.7918032786885246,0.7918032786885246,0.7918032786885246,0.7918032786885246
macro avg,0.8262716755891042,0.8130279857320081,0.8155112188271662,610.0
weighted avg,0.7926954250561079,0.7918032786885246,0.7878522229763529,610.0
AUC,0.9809,0.9809,0.9809,0.9809
