,precision,recall,f1-score,support
0,0.9583333333333334,1.0,0.9787234042553191,69.0
1,0.96,0.7058823529411765,0.8135593220338984,68.0
2,0.76,0.8260869565217391,0.7916666666666666,69.0
3,0.7901234567901234,0.9846153846153847,0.8767123287671232,65.0
4,0.9272727272727272,0.7846153846153846,0.85,65.0
5,0.8840579710144928,0.9242424242424242,0.9037037037037037,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.9154929577464789,0.9420289855072463,0.9285714285714286,69.0
10,0.9130434782608695,0.9130434782608695,0.9130434782608695,69.0
accuracy,0.8950819672131147,0.8950819672131147,0.8950819672131147,0.8950819672131147
macro avg,0.9189385385834566,0.9099169450250595,0.9108130268383611,610.0
weighted avg,0.9016272002222113,0.8950819672131147,0.8940886658042969,610.0
AUC,0.9951,0.9951,0.9951,0.9951
