,precision,recall,f1-score,support
0,0.9452054794520548,1.0,0.971830985915493,69.0
1,0.7258064516129032,0.6617647058823529,0.6923076923076923,68.0
2,0.7450980392156863,0.5507246376811594,0.6333333333333333,69.0
3,0.6575342465753424,0.7384615384615385,0.6956521739130435,65.0
4,0.6612903225806451,0.6307692307692307,0.6456692913385826,65.0
5,0.8421052631578947,0.9696969696969697,0.9014084507042254,66.0
6,1.0,0.8928571428571429,0.9433962264150944,28.0
7,0.95,0.9047619047619048,0.926829268292683,21.0
8,0.875,1.0,0.9333333333333333,21.0
9,0.8591549295774648,0.8840579710144928,0.8714285714285714,69.0
10,0.8904109589041096,0.9420289855072463,0.9154929577464789,69.0
accuracy,0.8131147540983606,0.8131147540983606,0.8131147540983606,0.8131147540983606
macro avg,0.8319641537341909,0.8341020987847307,0.8300620258844119,610.0
weighted avg,0.8103825773221974,0.8131147540983606,0.8086691943930724,610.0
