,precision,recall,f1-score,support
0,1.0,1.0,1.0,69.0
1,0.8275862068965517,0.7058823529411765,0.7619047619047619,68.0
2,0.7272727272727273,0.8115942028985508,0.7671232876712328,69.0
3,0.7945205479452054,0.8923076923076924,0.8405797101449275,65.0
4,0.9285714285714286,0.8,0.859504132231405,65.0
5,0.8405797101449275,0.8787878787878788,0.8592592592592593,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.9242424242424242,0.8840579710144928,0.9037037037037037,69.0
10,0.8904109589041096,0.9420289855072463,0.9154929577464789,69.0
accuracy,0.8770491803278688,0.8770491803278688,0.8770491803278688,0.8770491803278688
macro avg,0.8988844962293481,0.8948391374571333,0.8952068146973857,610.0
weighted avg,0.8806450124204845,0.8770491803278688,0.8769782820236293,610.0
AUC,0.9904,0.9904,0.9904,0.9904
