,precision,recall,f1-score,support
0,0.9583333333333334,1.0,0.9787234042553191,69.0
1,0.7777777777777778,0.6176470588235294,0.6885245901639344,68.0
2,0.6857142857142857,0.6956521739130435,0.6906474820143885,69.0
3,0.6964285714285714,0.6,0.6446280991735537,65.0
4,0.6447368421052632,0.7538461538461538,0.6950354609929078,65.0
5,0.9393939393939394,0.9393939393939394,0.9393939393939394,66.0
6,1.0,0.8928571428571429,0.9433962264150944,28.0
7,1.0,0.9047619047619048,0.95,21.0
8,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
9,0.9054054054054054,0.9710144927536232,0.9370629370629371,69.0
10,0.8831168831168831,0.9855072463768116,0.9315068493150684,69.0
accuracy,0.8327868852459016,0.8327868852459016,0.8327868852459016,0.8327868852459016
macro avg,0.8584807264233103,0.8466419150097365,0.8501181764698269,610.0
weighted avg,0.8326425645752652,0.8327868852459016,0.8301324660562007,610.0
AUC,0.9863,0.9863,0.9863,0.9863
