,precision,recall,f1-score,support
0,1.0,0.9855072463768116,0.9927007299270073,69.0
1,0.8571428571428571,0.7058823529411765,0.7741935483870968,68.0
2,0.7733333333333333,0.8405797101449275,0.8055555555555556,69.0
3,0.7073170731707317,0.8923076923076924,0.7891156462585034,65.0
4,0.828125,0.8153846153846154,0.8217054263565892,65.0
5,0.921875,0.8939393939393939,0.9076923076923077,66.0
6,1.0,1.0,1.0,28.0
7,1.0,1.0,1.0,21.0
8,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
9,0.9833333333333333,0.855072463768116,0.9147286821705426,69.0
10,0.8857142857142857,0.8985507246376812,0.8920863309352518,69.0
accuracy,0.8754098360655738,0.8754098360655738,0.8754098360655738,0.8754098360655738
macro avg,0.8969028901623137,0.8945095592619424,0.8934555259474899,610.0
weighted avg,0.8825383505688633,0.8754098360655738,0.8762967649861029,610.0
