,precision,recall,f1-score,support
0,1.0,0.9565217391304348,0.9777777777777777,69.0
1,0.5196078431372549,0.7794117647058824,0.6235294117647059,68.0
2,0.6451612903225806,0.5797101449275363,0.6106870229007634,69.0
3,0.6875,0.676923076923077,0.6821705426356589,65.0
4,0.7285714285714285,0.7846153846153846,0.7555555555555555,65.0
5,1.0,0.7878787878787878,0.8813559322033898,66.0
6,1.0,0.8214285714285714,0.9019607843137255,28.0
7,0.9130434782608695,1.0,0.9545454545454546,21.0
8,0.875,1.0,0.9333333333333333,21.0
9,0.725,0.8405797101449275,0.7785234899328859,69.0
10,0.9545454545454546,0.6086956521739131,0.7433628318584071,69.0
accuracy,0.7721311475409836,0.7721311475409836,0.7721311475409836,0.7721311475409836
macro avg,0.8225844995306898,0.8032513483571377,0.8038911033474233,610.0
weighted avg,0.8005436961145064,0.7721311475409836,0.7762889702696887,610.0
