,precision,recall,f1-score,support
0,0.9444444444444444,0.9855072463768116,0.9645390070921985,69.0
1,0.7971014492753623,0.8088235294117647,0.8029197080291971,68.0
2,0.7735849056603774,0.5942028985507246,0.6721311475409836,69.0
3,0.7808219178082192,0.8769230769230769,0.8260869565217391,65.0
4,0.86,0.6615384615384615,0.7478260869565218,65.0
5,0.7848101265822784,0.9393939393939394,0.8551724137931035,66.0
6,0.9583333333333334,0.8214285714285714,0.8846153846153846,28.0
7,0.9130434782608695,1.0,0.9545454545454546,21.0
8,1.0,0.9523809523809523,0.975609756097561,21.0
9,0.8611111111111112,0.8985507246376812,0.8794326241134752,69.0
10,0.84,0.9130434782608695,0.875,69.0
accuracy,0.8442622950819673,0.8442622950819673,0.8442622950819673,0.8442622950819673
macro avg,0.8648409787705451,0.8592538980820776,0.8579889581186927,610.0
weighted avg,0.8452159504318038,0.8442622950819673,0.8403817200142142,610.0
