,precision,recall,f1-score,support
0,0.9855072463768116,0.9855072463768116,0.9855072463768116,69.0
1,0.7285714285714285,0.75,0.7391304347826086,68.0
2,0.6625,0.7681159420289855,0.7114093959731543,69.0
3,0.7228915662650602,0.9230769230769231,0.8108108108108109,65.0
4,0.9545454545454546,0.6461538461538462,0.7706422018348624,65.0
5,0.8805970149253731,0.8939393939393939,0.8872180451127819,66.0
6,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
7,0.9545454545454546,1.0,0.9767441860465116,21.0
8,1.0,1.0,1.0,21.0
9,0.8484848484848485,0.8115942028985508,0.8296296296296296,69.0
10,0.819672131147541,0.7246376811594203,0.7692307692307693,69.0
accuracy,0.8295081967213115,0.8295081967213115,0.8295081967213115,0.8295081967213115
macro avg,0.8621128246170816,0.8541711253173703,0.8535830571717136,610.0
weighted avg,0.8401350467977551,0.8295081967213115,0.8294860583109297,610.0
