,precision,recall,f1-score,support
0,0.918918918918919,0.9855072463768116,0.951048951048951,69.0
1,0.711864406779661,0.6176470588235294,0.6614173228346457,68.0
2,0.5921052631578947,0.6521739130434783,0.6206896551724138,69.0
3,0.6555555555555556,0.9076923076923077,0.7612903225806451,65.0
4,0.8409090909090909,0.5692307692307692,0.6788990825688074,65.0
5,0.7702702702702703,0.8636363636363636,0.8142857142857143,66.0
6,0.9047619047619048,0.6785714285714286,0.7755102040816326,28.0
7,0.95,0.9047619047619048,0.926829268292683,21.0
8,1.0,0.7619047619047619,0.8648648648648649,21.0
9,0.7794117647058824,0.7681159420289855,0.7737226277372263,69.0
10,0.8676470588235294,0.855072463768116,0.8613138686131386,69.0
accuracy,0.7770491803278688,0.7770491803278688,0.7770491803278688,0.7770491803278688
macro avg,0.8174040212620644,0.7785740145307688,0.7899883529164292,610.0
weighted avg,0.7880424266216717,0.7770491803278688,0.7753096574071657,610.0
AUC,0.9790,0.9790,0.9790,0.9790
