,precision,recall,f1-score,support
0,0.9846153846153847,0.927536231884058,0.9552238805970149,69.0
1,0.7659574468085106,0.5294117647058824,0.6260869565217392,68.0
2,0.6521739130434783,0.6521739130434783,0.6521739130434783,69.0
3,0.7384615384615385,0.7384615384615385,0.7384615384615385,65.0
4,0.7142857142857143,0.7692307692307693,0.7407407407407407,65.0
5,0.8493150684931506,0.9393939393939394,0.8920863309352518,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
8,1.0,0.8571428571428571,0.9230769230769231,21.0
9,0.8648648648648649,0.927536231884058,0.8951048951048951,69.0
10,0.7349397590361446,0.8840579710144928,0.8026315789473685,69.0
accuracy,0.8065573770491803,0.8065573770491803,0.8065573770491803,0.8065573770491803
macro avg,0.8376095089726996,0.8213153660258983,0.8253542035132189,610.0
weighted avg,0.8098104295256366,0.8065573770491803,0.8039666827145127,610.0
AUC,0.9819,0.9819,0.9819,0.9819
