,precision,recall,f1-score,support
0,1.0,1.0,1.0,69.0
1,0.8387096774193549,0.7647058823529411,0.8,68.0
2,0.75,0.7391304347826086,0.7445255474452555,69.0
3,0.9230769230769231,0.9230769230769231,0.9230769230769231,65.0
4,0.9104477611940298,0.9384615384615385,0.9242424242424242,65.0
5,0.9130434782608695,0.9545454545454546,0.9333333333333333,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,1.0,1.0,1.0,21.0
8,0.9130434782608695,1.0,0.9545454545454546,21.0
9,0.9027777777777778,0.9420289855072463,0.9219858156028369,69.0
10,0.9571428571428572,0.9710144927536232,0.9640287769784173,69.0
accuracy,0.9081967213114754,0.9081967213114754,0.9081967213114754,0.9081967213114754
macro avg,0.9189310866484258,0.9172824153293813,0.9171650180274152,610.0
weighted avg,0.9077551950169632,0.9081967213114754,0.9073354682445821,610.0
AUC,0.9932,0.9932,0.9932,0.9932
