,precision,recall,f1-score,support
0,0.9857142857142858,1.0,0.9928057553956835,69.0
1,0.85,0.75,0.796875,68.0
2,0.7794117647058824,0.7681159420289855,0.7737226277372263,69.0
3,0.8714285714285714,0.9384615384615385,0.9037037037037037,65.0
4,0.8939393939393939,0.9076923076923077,0.9007633587786259,65.0
5,0.9523809523809523,0.9090909090909091,0.9302325581395349,66.0
6,1.0,1.0,1.0,28.0
7,0.9545454545454546,1.0,0.9767441860465116,21.0
8,1.0,0.9523809523809523,0.975609756097561,21.0
9,0.9178082191780822,0.9710144927536232,0.9436619718309859,69.0
10,0.9571428571428572,0.9710144927536232,0.9640287769784173,69.0
accuracy,0.9114754098360656,0.9114754098360656,0.9114754098360656,0.9114754098360656
macro avg,0.9238519544577709,0.9243427850147218,0.9234679722462045,610.0
weighted avg,0.9108472736010683,0.9114754098360656,0.910481575061649,610.0
AUC,0.9946,0.9946,0.9946,0.9946
