,precision,recall,f1-score,support
0,0.9850746268656716,0.9565217391304348,0.9705882352941176,69.0
1,0.7884615384615384,0.6029411764705882,0.6833333333333333,68.0
2,0.8367346938775511,0.5942028985507246,0.6949152542372882,69.0
3,0.6829268292682927,0.8615384615384616,0.7619047619047619,65.0
4,0.8064516129032258,0.7692307692307693,0.7874015748031497,65.0
5,0.7272727272727273,0.8484848484848485,0.7832167832167832,66.0
6,1.0,0.8214285714285714,0.9019607843137255,28.0
7,1.0,0.9523809523809523,0.975609756097561,21.0
8,1.0,1.0,1.0,21.0
9,0.8450704225352113,0.8695652173913043,0.8571428571428571,69.0
10,0.7906976744186046,0.9855072463768116,0.8774193548387097,69.0
accuracy,0.8229508196721311,0.8229508196721311,0.8229508196721311,0.8229508196721311
macro avg,0.8602445568729838,0.8419819891803152,0.8448629722892989,610.0
weighted avg,0.831143975701031,0.8229508196721311,0.8200182401446178,610.0
AUC,0.9866,0.9866,0.9866,0.9866
