,precision,recall,f1-score,support
0,0.9452054794520548,1.0,0.971830985915493,69.0
1,0.7432432432432432,0.8088235294117647,0.7746478873239436,68.0
2,0.8085106382978723,0.5507246376811594,0.6551724137931034,69.0
3,0.7627118644067796,0.6923076923076923,0.7258064516129032,65.0
4,0.7027027027027027,0.8,0.7482014388489209,65.0
5,0.953125,0.9242424242424242,0.9384615384615385,66.0
6,1.0,0.8928571428571429,0.9433962264150944,28.0
7,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
8,1.0,0.9523809523809523,0.975609756097561,21.0
9,0.8947368421052632,0.9855072463768116,0.9379310344827586,69.0
10,0.9078947368421053,1.0,0.9517241379310345,69.0
accuracy,0.8557377049180328,0.8557377049180328,0.8557377049180328,0.8557377049180328
macro avg,0.8752019469219028,0.869020416148991,0.8684558571838078,610.0
weighted avg,0.8560289140420975,0.8557377049180328,0.8516594347074669,610.0
AUC,0.9893,0.9893,0.9893,0.9893
