,precision,recall,f1-score,support
0,0.9857142857142858,1.0,0.9928057553956835,69.0
1,0.8524590163934426,0.7647058823529411,0.8062015503875969,68.0
2,0.8620689655172413,0.7246376811594203,0.7874015748031497,69.0
3,0.8571428571428571,0.9230769230769231,0.8888888888888888,65.0
4,0.9016393442622951,0.8461538461538461,0.873015873015873,65.0
5,0.8243243243243243,0.9242424242424242,0.8714285714285714,66.0
6,1.0,0.8928571428571429,0.9433962264150944,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.9166666666666666,0.9565217391304348,0.9361702127659575,69.0
10,0.8571428571428571,0.9565217391304348,0.9041095890410958,69.0
accuracy,0.8950819672131147,0.8950819672131147,0.8950819672131147,0.8950819672131147
macro avg,0.914287119742179,0.9080652161912336,0.9094016583765374,610.0
weighted avg,0.8960383001464375,0.8950819672131147,0.8935877165778372,610.0
AUC,0.9933,0.9933,0.9933,0.9933
