,precision,recall,f1-score,support
0,0.971830985915493,1.0,0.9857142857142858,69.0
1,0.8529411764705882,0.8529411764705882,0.8529411764705882,68.0
2,0.896551724137931,0.7536231884057971,0.8188976377952756,69.0
3,0.8311688311688312,0.9846153846153847,0.9014084507042254,65.0
4,0.9137931034482759,0.8153846153846154,0.8617886178861789,65.0
5,0.8970588235294118,0.9242424242424242,0.9104477611940298,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.9436619718309859,0.9710144927536232,0.9571428571428572,69.0
10,0.9583333333333334,1.0,0.9787234042553191,69.0
accuracy,0.9163934426229509,0.9163934426229509,0.9163934426229509,0.9163934426229509
macro avg,0.9290804913073006,0.9235421944559356,0.9242623000260177,610.0
weighted avg,0.9177540093418558,0.9163934426229509,0.9149969478835193,610.0
AUC,0.9972,0.9972,0.9972,0.9972
