,precision,recall,f1-score,support
0,0.9714285714285714,0.9855072463768116,0.9784172661870504,69.0
1,0.8125,0.7647058823529411,0.7878787878787878,68.0
2,0.7936507936507936,0.7246376811594203,0.7575757575757576,69.0
3,0.8055555555555556,0.8923076923076924,0.8467153284671532,65.0
4,0.8524590163934426,0.8,0.8253968253968254,65.0
5,0.9344262295081968,0.8636363636363636,0.8976377952755905,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.8714285714285714,0.8840579710144928,0.8776978417266187,69.0
10,0.8375,0.9710144927536232,0.8993288590604027,69.0
accuracy,0.8737704918032787,0.8737704918032787,0.8737704918032787,0.8737704918032787
macro avg,0.8939540175009625,0.8922217052884339,0.8918505100525146,610.0
weighted avg,0.8745001319487345,0.8737704918032787,0.8727542523425953,610.0
