,precision,recall,f1-score,support
0,0.9714285714285714,0.9855072463768116,0.9784172661870504,69.0
1,0.647887323943662,0.6764705882352942,0.6618705035971223,68.0
2,0.6981132075471698,0.5362318840579711,0.6065573770491803,69.0
3,0.5614035087719298,0.49230769230769234,0.5245901639344263,65.0
4,0.547945205479452,0.6153846153846154,0.5797101449275363,65.0
5,0.8157894736842105,0.9393939393939394,0.8732394366197183,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
8,0.875,1.0,0.9333333333333333,21.0
9,0.9264705882352942,0.9130434782608695,0.9197080291970803,69.0
10,0.9154929577464789,0.9420289855072463,0.9285714285714286,69.0
accuracy,0.7868852459016393,0.7868852459016393,0.7868852459016393,0.7868852459016393
macro avg,0.8101737990197928,0.8164837100433473,0.8110310544327993,610.0
weighted avg,0.7847130772782545,0.7868852459016393,0.783406578802989,610.0
