,precision,recall,f1-score,support
0,0.9583333333333334,1.0,0.9787234042553191,69.0
1,0.7843137254901961,0.5882352941176471,0.6722689075630253,68.0
2,0.6486486486486487,0.6956521739130435,0.6713286713286714,69.0
3,0.5774647887323944,0.6307692307692307,0.6029411764705882,65.0
4,0.5245901639344263,0.49230769230769234,0.5079365079365079,65.0
5,0.8493150684931506,0.9393939393939394,0.8920863309352518,66.0
6,0.9655172413793104,1.0,0.9824561403508771,28.0
7,1.0,1.0,1.0,21.0
8,0.9130434782608695,1.0,0.9545454545454546,21.0
9,0.8939393939393939,0.855072463768116,0.8740740740740741,69.0
10,0.8985507246376812,0.8985507246376812,0.8985507246376812,69.0
accuracy,0.7918032786885246,0.7918032786885246,0.7918032786885246,0.7918032786885246
macro avg,0.8194287788044914,0.8272710471733955,0.8213555810997683,610.0
weighted avg,0.7914650336358993,0.7918032786885246,0.789373711219933,610.0
