,precision,recall,f1-score,support
0,0.2,0.07246376811594203,0.10638297872340426,69.0
1,0.17721518987341772,0.20588235294117646,0.19047619047619047,68.0
2,0.1366906474820144,0.2753623188405797,0.18269230769230768,69.0
3,0.3333333333333333,0.18461538461538463,0.2376237623762376,65.0
4,0.631578947368421,0.18461538461538463,0.2857142857142857,65.0
5,0.47058823529411764,0.7272727272727273,0.5714285714285714,66.0
6,0.0,0.0,0.0,28.0
7,0.3076923076923077,0.38095238095238093,0.3404255319148936,21.0
8,0.5,0.09523809523809523,0.16,21.0
9,0.2537313432835821,0.4927536231884058,0.33497536945812806,69.0
10,0.11428571428571428,0.057971014492753624,0.07692307692307693,69.0
accuracy,0.25901639344262295,0.25901639344262295,0.25901639344262295,0.25901639344262295
macro avg,0.28410142896480983,0.24337518638843914,0.2260583704279178,610.0
weighted avg,0.28100840130573296,0.25901639344262295,0.23534387463237824,610.0
