,precision,recall,f1-score,support
0,0.9583333333333334,1.0,0.9787234042553191,69.0
1,0.8983050847457628,0.7794117647058824,0.8346456692913385,68.0
2,0.7966101694915254,0.6811594202898551,0.734375,69.0
3,0.7435897435897436,0.8923076923076924,0.8111888111888111,65.0
4,0.8275862068965517,0.7384615384615385,0.7804878048780488,65.0
5,0.8333333333333334,0.8333333333333334,0.8333333333333334,66.0
6,1.0,0.8214285714285714,0.9019607843137255,28.0
7,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0
8,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
9,0.810126582278481,0.927536231884058,0.8648648648648649,69.0
10,0.8333333333333334,0.8695652173913043,0.851063829787234,69.0
accuracy,0.8475409836065574,0.8475409836065574,0.8475409836065574,0.8475409836065574
macro avg,0.8657421778885748,0.8589059704149219,0.8592832148531397,610.0
weighted avg,0.850757193412572,0.8475409836065574,0.8461697810368233,610.0
