,precision,recall,f1-score,support
0,1.0,0.9855072463768116,0.9927007299270073,69.0
1,0.9180327868852459,0.8235294117647058,0.8682170542635659,68.0
2,0.7777777777777778,0.8115942028985508,0.7943262411347518,69.0
3,0.9122807017543859,0.8,0.8524590163934426,65.0
4,0.7763157894736842,0.9076923076923077,0.8368794326241135,65.0
5,0.873015873015873,0.8333333333333334,0.8527131782945736,66.0
6,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
7,0.9545454545454546,1.0,0.9767441860465116,21.0
8,1.0,0.9523809523809523,0.975609756097561,21.0
9,0.85,0.9855072463768116,0.912751677852349,69.0
10,0.90625,0.8405797101449275,0.8721804511278195,69.0
accuracy,0.8836065573770492,0.8836065573770492,0.8836065573770492,0.8836065573770492
macro avg,0.902834667855944,0.8971541672308937,0.8981851153832945,610.0
weighted avg,0.8879678413641854,0.8836065573770492,0.8837084698428711,610.0
