,precision,recall,f1-score,support
0,0.2631578947368421,0.07246376811594203,0.11363636363636363,69.0
1,0.20765027322404372,0.5588235294117647,0.30278884462151395,68.0
2,0.11888111888111888,0.2463768115942029,0.16037735849056603,69.0
3,0.4107142857142857,0.35384615384615387,0.38016528925619836,65.0
4,0.0,0.0,0.0,65.0
5,0.43209876543209874,0.5303030303030303,0.47619047619047616,66.0
6,0.0,0.0,0.0,28.0
7,0.16666666666666666,0.047619047619047616,0.07407407407407407,21.0
8,0.2727272727272727,0.2857142857142857,0.27906976744186046,21.0
9,0.3333333333333333,0.30434782608695654,0.3181818181818182,69.0
10,0.23333333333333334,0.10144927536231885,0.1414141414141414,69.0
accuracy,0.25081967213114753,0.25081967213114753,0.25081967213114753,0.25081967213114753
macro avg,0.22168754036809046,0.2273585207321548,0.20417255757336478,610.0
weighted avg,0.2361034923542526,0.25081967213114753,0.22092466454951024,610.0
