,precision,recall,f1-score,support
0,0.058823529411764705,0.014492753623188406,0.023255813953488372,69.0
1,0.22627737226277372,0.45588235294117646,0.3024390243902439,68.0
2,0.11764705882352941,0.14492753623188406,0.12987012987012986,69.0
3,0.47058823529411764,0.12307692307692308,0.1951219512195122,65.0
4,0.4166666666666667,0.38461538461538464,0.4,65.0
5,0.4074074074074074,0.5,0.4489795918367347,66.0
6,0.0,0.0,0.0,28.0
7,0.0,0.0,0.0,21.0
8,0.39622641509433965,1.0,0.5675675675675675,21.0
9,0.3364485981308411,0.5217391304347826,0.4090909090909091,69.0
10,0.3409090909090909,0.21739130434782608,0.26548672566371684,69.0
accuracy,0.29508196721311475,0.29508196721311475,0.29508196721311475,0.29508196721311475
macro avg,0.2519085794545938,0.30564776229737867,0.24925561032657295,610.0
weighted avg,0.27406922078554136,0.29508196721311475,0.2588719662128641,610.0
