,precision,recall,f1-score,support
0,0.9452054794520548,1.0,0.971830985915493,69.0
1,0.7592592592592593,0.6029411764705882,0.6721311475409836,68.0
2,0.6375,0.7391304347826086,0.6845637583892618,69.0
3,0.5606060606060606,0.5692307692307692,0.5648854961832062,65.0
4,0.5875,0.7230769230769231,0.6482758620689655,65.0
5,0.9365079365079365,0.8939393939393939,0.9147286821705426,66.0
6,1.0,0.8928571428571429,0.9433962264150944,28.0
7,0.875,1.0,0.9333333333333333,21.0
8,1.0,0.8571428571428571,0.9230769230769231,21.0
9,0.9830508474576272,0.8405797101449275,0.90625,69.0
10,0.9558823529411765,0.9420289855072463,0.948905109489051,69.0
accuracy,0.8049180327868852,0.8049180327868852,0.8049180327868852,0.8049180327868852
macro avg,0.8400465396567377,0.8237206721047687,0.8283070476893504,610.0
weighted avg,0.8171051086692731,0.8049180327868852,0.8075887688171222,610.0
