,precision,recall,f1-score,support
0,0.8051948051948052,0.8985507246376812,0.8493150684931506,69.0
1,0.578125,0.5441176470588235,0.5606060606060606,68.0
2,0.4444444444444444,0.5797101449275363,0.5031446540880503,69.0
3,0.3068181818181818,0.4153846153846154,0.35294117647058826,65.0
4,0.30303030303030304,0.15384615384615385,0.20408163265306123,65.0
5,0.6477272727272727,0.8636363636363636,0.7402597402597403,66.0
6,0.3333333333333333,0.25,0.2857142857142857,28.0
7,1.0,0.3333333333333333,0.5,21.0
8,0.4666666666666667,0.6666666666666666,0.5490196078431373,21.0
9,0.7843137254901961,0.5797101449275363,0.6666666666666666,69.0
10,0.47540983606557374,0.42028985507246375,0.4461538461538462,69.0
accuracy,0.5409836065573771,0.5409836065573771,0.5409836065573771,0.5409836065573771
macro avg,0.5586421426155253,0.5186586954082885,0.5143547944498716,610.0
weighted avg,0.5491508505261331,0.5409836065573771,0.530030468161994,610.0
