,precision,recall,f1-score,support
0,0.9178082191780822,0.9710144927536232,0.9436619718309859,69.0
1,0.6206896551724138,0.5294117647058824,0.5714285714285714,68.0
2,0.6,0.5217391304347826,0.5581395348837209,69.0
3,0.639344262295082,0.6,0.6190476190476191,65.0
4,0.5512820512820513,0.6615384615384615,0.6013986013986014,65.0
5,0.8,0.9090909090909091,0.851063829787234,66.0
6,1.0,0.7142857142857143,0.8333333333333334,28.0
7,0.7619047619047619,0.7619047619047619,0.7619047619047619,21.0
8,0.8421052631578947,0.7619047619047619,0.8,21.0
9,0.8589743589743589,0.9710144927536232,0.9115646258503401,69.0
10,0.9104477611940298,0.8840579710144928,0.8970588235294118,69.0
accuracy,0.7557377049180328,0.7557377049180328,0.7557377049180328,0.7557377049180328
macro avg,0.7729596666507885,0.7532693145806376,0.7589637884540527,610.0
weighted avg,0.75557493586141,0.7557377049180328,0.7523098610753371,610.0
