,precision,recall,f1-score,support
0,0.6470588235294118,0.15942028985507245,0.2558139534883721,69.0
1,0.21153846153846154,0.16176470588235295,0.18333333333333332,68.0
2,0.11320754716981132,0.2608695652173913,0.15789473684210525,69.0
3,0.5,0.2153846153846154,0.3010752688172043,65.0
4,0.5263157894736842,0.3076923076923077,0.3883495145631068,65.0
5,0.5217391304347826,0.5454545454545454,0.5333333333333333,66.0
6,0.11538461538461539,0.10714285714285714,0.1111111111111111,28.0
7,1.0,0.047619047619047616,0.09090909090909091,21.0
8,0.2,0.23809523809523808,0.21739130434782608,21.0
9,0.3008849557522124,0.4927536231884058,0.37362637362637363,69.0
10,0.2073170731707317,0.2463768115942029,0.2251655629139073,69.0
accuracy,0.2786885245901639,0.2786885245901639,0.2786885245901639,0.2786885245901639
macro avg,0.39485876331397374,0.25296123701145795,0.25800032575325127,610.0
weighted avg,0.37948362805540864,0.2786885245901639,0.28184793483930426,610.0
