,precision,recall,f1-score,support
0,0.8947368421052632,0.9855072463768116,0.9379310344827586,69.0
1,0.7833333333333333,0.6911764705882353,0.734375,68.0
2,0.8222222222222222,0.5362318840579711,0.6491228070175439,69.0
3,0.7222222222222222,0.8,0.7591240875912408,65.0
4,0.7538461538461538,0.7538461538461538,0.7538461538461538,65.0
5,0.7468354430379747,0.8939393939393939,0.8137931034482758,66.0
6,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.9076923076923077,0.855072463768116,0.8805970149253731,69.0
10,0.810126582278481,0.927536231884058,0.8648648648648649,69.0
accuracy,0.8229508196721311,0.8229508196721311,0.8229508196721311,0.8229508196721311
macro avg,0.8506453657110796,0.8487424533925348,0.8451203798316953,610.0
weighted avg,0.8253614109290652,0.8229508196721311,0.8186427034802735,610.0
AUC,0.9823,0.9823,0.9823,0.9823
