,precision,recall,f1-score,support
0,0.9583333333333334,1.0,0.9787234042553191,69.0
1,0.7536231884057971,0.7647058823529411,0.7591240875912408,68.0
2,0.8363636363636363,0.6666666666666666,0.7419354838709677,69.0
3,0.673469387755102,0.5076923076923077,0.5789473684210527,65.0
4,0.6341463414634146,0.8,0.7074829931972789,65.0
5,0.8888888888888888,0.9696969696969697,0.927536231884058,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.9852941176470589,0.9710144927536232,0.9781021897810219,69.0
10,0.8831168831168831,0.9855072463768116,0.9315068493150684,69.0
accuracy,0.8475409836065574,0.8475409836065574,0.8475409836065574,0.8475409836065574
macro avg,0.873930525179465,0.8656751293347434,0.8660395937629937,610.0
weighted avg,0.84862707514634,0.8475409836065574,0.8439187599840028,610.0
AUC,0.9879,0.9879,0.9879,0.9879
