,precision,recall,f1-score,support
0,1.0,1.0,1.0,69.0
1,0.8421052631578947,0.7058823529411765,0.768,68.0
2,0.7466666666666667,0.8115942028985508,0.7777777777777778,69.0
3,0.8823529411764706,0.9230769230769231,0.9022556390977443,65.0
4,0.9354838709677419,0.8923076923076924,0.9133858267716536,65.0
5,0.9264705882352942,0.9545454545454546,0.9402985074626866,66.0
6,0.96,0.8571428571428571,0.9056603773584906,28.0
7,1.0,1.0,1.0,21.0
8,0.875,1.0,0.9333333333333333,21.0
9,0.875,0.9130434782608695,0.8936170212765957,69.0
10,0.9565217391304348,0.9565217391304348,0.9565217391304348,69.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9090546426667729,0.9103740636639963,0.9082591111098833,610.0
weighted avg,0.9011796877174427,0.9,0.8993198827456356,610.0
AUC,0.9929,0.9929,0.9929,0.9929
