,precision,recall,f1-score,support
0,1.0,1.0,1.0,69.0
1,0.8888888888888888,0.8235294117647058,0.8549618320610687,68.0
2,0.8405797101449275,0.8405797101449275,0.8405797101449275,69.0
3,0.8533333333333334,0.9846153846153847,0.9142857142857143,65.0
4,0.9482758620689655,0.8461538461538461,0.8943089430894309,65.0
5,0.9696969696969697,0.9696969696969697,0.9696969696969697,66.0
6,1.0,0.9285714285714286,0.9629629629629629,28.0
7,1.0,1.0,1.0,21.0
8,1.0,1.0,1.0,21.0
9,0.9305555555555556,0.9710144927536232,0.950354609929078,69.0
10,0.9714285714285714,0.9855072463768116,0.9784172661870504,69.0
accuracy,0.9327868852459016,0.9327868852459016,0.9327868852459016,0.9327868852459016
macro avg,0.9457053537379282,0.9408789536434271,0.9423243643961093,610.0
weighted avg,0.9340753227991782,0.9327868852459016,0.9323676716795294,610.0
AUC,0.9967,0.9967,0.9967,0.9967
