,precision,recall,f1-score,support
0,0.9452054794520548,1.0,0.971830985915493,69.0
1,0.5747126436781609,0.7352941176470589,0.6451612903225806,68.0
2,0.66,0.4782608695652174,0.5546218487394958,69.0
3,0.5172413793103449,0.6923076923076923,0.5921052631578947,65.0
4,0.5849056603773585,0.47692307692307695,0.5254237288135594,65.0
5,0.8656716417910447,0.8787878787878788,0.8721804511278195,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
8,0.9047619047619048,0.9047619047619048,0.9047619047619048,21.0
9,0.9344262295081968,0.8260869565217391,0.8769230769230769,69.0
10,0.9696969696969697,0.927536231884058,0.9481481481481482,69.0
accuracy,0.7688524590163934,0.7688524590163934,0.7688524590163934,0.7688524590163934
macro avg,0.8055803466670853,0.7892603173003081,0.7926359568862545,610.0
weighted avg,0.7803246303858572,0.7688524590163934,0.7691402884619323,610.0
