,precision,recall,f1-score,support
0,0.8354430379746836,0.9565217391304348,0.8918918918918919,69.0
1,0.5802469135802469,0.6911764705882353,0.6308724832214765,68.0
2,0.47761194029850745,0.463768115942029,0.47058823529411764,69.0
3,0.5084745762711864,0.46153846153846156,0.4838709677419355,65.0
4,0.4782608695652174,0.16923076923076924,0.25,65.0
5,0.6133333333333333,0.696969696969697,0.6524822695035462,66.0
6,0.3103448275862069,0.32142857142857145,0.3157894736842105,28.0
7,0.75,0.14285714285714285,0.24,21.0
8,0.3611111111111111,0.6190476190476191,0.45614035087719296,21.0
9,0.4731182795698925,0.6376811594202898,0.5432098765432098,69.0
10,0.609375,0.5652173913043478,0.5864661654135338,69.0
accuracy,0.5573770491803278,0.5573770491803278,0.5573770491803278,0.5573770491803278
macro avg,0.5452108990263986,0.520494285223418,0.5019374285610104,610.0
weighted avg,0.5596564137700704,0.5573770491803278,0.5394829505769658,610.0
