,precision,recall,f1-score,support
0,0.9714285714285714,0.9855072463768116,0.9784172661870504,69.0
1,0.6268656716417911,0.6176470588235294,0.6222222222222222,68.0
2,0.6326530612244898,0.4492753623188406,0.5254237288135594,69.0
3,0.578125,0.5692307692307692,0.5736434108527132,65.0
4,0.5671641791044776,0.5846153846153846,0.5757575757575758,65.0
5,0.9117647058823529,0.9393939393939394,0.9253731343283582,66.0
6,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
7,1.0,0.8571428571428571,0.9230769230769231,21.0
8,0.875,1.0,0.9333333333333333,21.0
9,0.7625,0.8840579710144928,0.8187919463087249,69.0
10,0.8933333333333333,0.9710144927536232,0.9305555555555556,69.0
accuracy,0.7737704918032787,0.7737704918032787,0.7737704918032787,0.7737704918032787
macro avg,0.7984654760818846,0.8020155269050876,0.7973528009747027,610.0
weighted avg,0.7681250254995563,0.7737704918032787,0.7681170881553187,610.0
