,precision,recall,f1-score,support
0,0.6363636363636364,0.30434782608695654,0.4117647058823529,69.0
1,0.16129032258064516,0.07352941176470588,0.10101010101010101,68.0
2,0.26865671641791045,0.2608695652173913,0.2647058823529412,69.0
3,0.5,0.23076923076923078,0.3157894736842105,65.0
4,0.40298507462686567,0.4153846153846154,0.4090909090909091,65.0
5,0.5342465753424658,0.5909090909090909,0.5611510791366906,66.0
6,0.5384615384615384,0.25,0.34146341463414637,28.0
7,0.19047619047619047,0.19047619047619047,0.19047619047619047,21.0
8,0.0,0.0,0.0,21.0
9,0.24390243902439024,0.5797101449275363,0.34334763948497854,69.0
10,0.12727272727272726,0.2028985507246377,0.1564245810055866,69.0
accuracy,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.3114754098360656
macro avg,0.32760502005148817,0.2817176932963959,0.28138399788710067,610.0
weighted avg,0.3476335404134161,0.3114754098360656,0.30449772521956,610.0
