,precision,recall,f1-score,support
0,0.9577464788732394,0.9855072463768116,0.9714285714285714,69.0
1,0.7205882352941176,0.7205882352941176,0.7205882352941176,68.0
2,0.8181818181818182,0.5217391304347826,0.6371681415929203,69.0
3,0.75,0.8307692307692308,0.7883211678832117,65.0
4,0.7464788732394366,0.8153846153846154,0.7794117647058824,65.0
5,0.8095238095238095,0.7727272727272727,0.7906976744186046,66.0
6,1.0,0.8571428571428571,0.9230769230769231,28.0
7,0.9545454545454546,1.0,0.9767441860465116,21.0
8,1.0,0.9523809523809523,0.975609756097561,21.0
9,0.921875,0.855072463768116,0.8872180451127819,69.0
10,0.7252747252747253,0.9565217391304348,0.825,69.0
accuracy,0.8213114754098361,0.8213114754098361,0.8213114754098361,0.8213114754098361
macro avg,0.854928581357509,0.8425303403099265,0.8432058605142804,610.0
weighted avg,0.8277664529104006,0.8213114754098361,0.818148347659612,610.0
AUC,0.9843,0.9843,0.9843,0.9843
