,precision,recall,f1-score,support
0,0.9857142857142858,1.0,0.9928057553956835,69.0
1,0.6901408450704225,0.7205882352941176,0.7050359712230215,68.0
2,0.7142857142857143,0.6521739130434783,0.6818181818181818,69.0
3,0.7466666666666667,0.8615384615384616,0.8,65.0
4,0.8867924528301887,0.7230769230769231,0.7966101694915254,65.0
5,0.859375,0.8333333333333334,0.8461538461538461,66.0
6,1.0,0.8214285714285714,0.9019607843137255,28.0
7,1.0,1.0,1.0,21.0
8,0.9545454545454546,1.0,0.9767441860465116,21.0
9,0.8695652173913043,0.8695652173913043,0.8695652173913043,69.0
10,0.8227848101265823,0.9420289855072463,0.8783783783783784,69.0
accuracy,0.8377049180327869,0.8377049180327869,0.8377049180327869,0.8377049180327869
macro avg,0.866351858784602,0.8567030582375851,0.859006590019289,610.0
weighted avg,0.8408865191414312,0.8377049180327869,0.836872050081794,610.0
AUC,0.9877,0.9877,0.9877,0.9877
